#,dataset_id,min(minimumDepthInMeters),max(maximumDepthInMeters)
79,"""3cd86c95-eaff-4561-8498-eced07e2a4db""",5125.0,5415.0
80,"""9fd109f3-079f-4836-80df-7848ddeecd47""",31.0,52.0
81,"""7bd0e1a6-dc41-4e1e-abe7-0eec0dd92317""",12.0,305.0
82,"""8a93d04d-ad46-439a-b264-6aa4bdf4eeb4""",3209.0,4485.0
83,"""1f7f1e21-e96c-4ede-bdd6-0b5e79959eeb""",0.0,175.0
84,"""4cf03bc4-0784-4990-bbc8-c25f9e214cb5""",1.0,112.0
85,"""feb3d6a4-39b2-4d91-85eb-e7e98782c80a""",1072.0,3844.0
86,"""8c65364c-8676-437a-a707-d0835d9ff1be""",60.0,808.0
87,"""e437e667-a179-451d-87ba-96ea827dba9f""",12.0,188.0
88,"""f41e98f0-f234-4888-b54e-b25abfb61ae4""",0.0,10850.0
89,"""6d842380-1cf0-4a1b-9b12-f6d1a8d892b2""",1.0,20.0
90,"""cfa6809d-50cf-4f29-99d1-9e9bbf39c59c""",0.0,70.0
91,"""e8c2a9de-09d9-4301-a5f6-9af5eaa1ed12""",0.0,108.0
92,"""9df9e620-d008-4cd2-82d6-aecc6af23644""",8.1,27.299999
93,"""b216687d-99ec-4f86-b28d-276f136a9611""",2.0,33.0
94,"""340cf56f-f494-48c1-9f13-dd1fb3bfbdf2""",0.0,7516.0
95,"""e0de7c96-c16f-4815-b4f4-2d2a24e497dc""",70.0,2420.0
96,"""376b6d39-629d-4df6-95a7-6765f72d8369""",0.0,50.0
97,"""15a20192-5e99-45a5-986a-f6f84b569f37""",0.0,850.0
98,"""39c96146-953d-4821-8542-faca0611ed43""",0.0,0.0
99,"""cd29a231-e1c4-4595-8f06-1cb3c6c18037""",1.2,27.4
100,"""33f39020-dfb7-4d45-bee3-9e3910792d9d""",1.1,29.1
101,"""90b53948-d6d4-4e70-a0b3-73daffbbf01d""",3.0,54.0
102,"""35c130fd-b7a6-473d-a6eb-26618c27824b""",904.0,960.0
103,"""cb4f80b8-ac98-4b22-a4bd-584e20c9de63""",16.0,125.0
104,"""563f7733-16c7-4069-903a-392665f69593""",2.0,962.0
105,"""6f017f69-5d59-4253-b73d-d9338cc51646""",4095.0,4405.0
106,"""ff57ef3b-9a6f-47e5-bab3-745f395275fc""",1.0,26.0
107,"""ea1618ec-00de-41e8-a0f5-56b6f526780e""",-9.0,48.0
108,"""967f706a-292c-487a-a4bd-d477ff5efeaa""",0.6,5.9
109,"""a145f369-b272-46f7-86bc-08412b1ee927""",0.0,11000.0
110,"""409632a9-f7bd-440e-9e22-66c76230b3b2""",30.0,1891.199951
111,"""58459779-1d20-4064-85eb-d11de3e147a9""",235.0,5883.0
112,"""9066ac42-af4d-41b0-8489-cd4c35e92810""",14.0,2200.0
113,"""33452cc4-13c7-4355-894f-4a8833302841""",0.0,80.0
114,"""12f19598-cd7a-4b6e-a26a-633a338606e2""",1.0,59.5
115,"""d569dc61-1e0b-4cd1-974c-7c06bed15856""",15.0,27.0
116,"""4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3""",0.0,4926.0
117,"""d185e4ea-16ee-4af3-8487-eaf04dc38d39""",10.0,2060.0
118,"""2570df1d-d55e-4e24-abe4-14857e2271bb""",65.0,3237.0
119,"""c9c36dcc-e0c1-4d1f-b3bc-14dc8ae91b31""",4.0,14.0
120,"""40d53f34-ba5c-477a-a9f7-6b221b17c6ff""",4041.0,4227.0
121,"""30b9ee29-50d7-40eb-8d45-8f9b331754df""",0.0,43.0
122,"""661aee3f-5979-463f-a475-53eb946063b3""",1.8,23.0
123,"""4fd52bef-1d35-4e06-8281-7213b6dde690""",0.0,20.0
124,"""18e09669-93f6-47b9-b50c-60d1f028442f""",0.0,4526.0
125,"""a0aab0e0-797c-4186-b184-804dc79ed934""",0.0,0.0
126,"""03d594dd-3665-49e5-bb4c-a78b1528a8e3""",28.4,38.0
127,"""e4a8f544-db4c-423f-a4e4-812785bd1551""",35.0,255.0
128,"""54d75f8a-0ced-44b6-b35a-d04c9183020f""",-7.0,2000.0
129,"""38c8ff67-7e42-46a7-9fbe-2d4ec402f1d6""",0.0,3740.0
130,"""c56bd06c-f51e-4506-9239-584938c0c880""",0.0,20.0
131,"""81ca9ffc-9cbb-4a48-87b3-191c8b5d94d9""",0.0,75.0
132,"""51c555be-c3e8-49de-9299-6f08f029002c""",2.0,70.0
133,"""a8670051-b02c-4f6f-974d-caddc73b95ab""",0.0,14.4
134,"""46d12be4-1587-4ff8-b5a9-a58bdd379fb2""",3.0,10.0
135,"""20e77c1c-6cbe-43b0-844b-4443fd735853""",0.0,93.0
136,"""e4f6c94e-2493-4608-b883-2e6d88f61bd5""",0.0,0.0
137,"""19731138-8d42-44df-a06a-d99919ffb620""",-12.0,0.51
138,"""fe2e14f5-a1f8-4de8-806f-c1f86550616a""",0.0,500.0
139,"""cf1034ec-9672-4802-8342-9a94609dce4f""",424.0,2567.0
140,"""c0082901-b261-4347-a7fa-4cf58559f397""",0.0,45.0
141,"""6391c5fe-858b-4d84-95e6-795172e8165c""",0.0,0.0
142,"""9db24ef5-0c19-4a5b-82a7-be3a31dec4b8""",0.0,2770.0
143,"""8b438ecc-596d-4096-9d03-b619fcb6a359""",0.0,200.0
144,"""f5a932d0-2f65-4ba8-a36e-42eb33be9085""",4650.0,4850.0
145,"""4e557f6b-5477-46e2-a847-3f12a2ea5be9""",9.0,9.0
146,"""caaa3c28-7b09-4422-a7e5-4c4fac62630a""",31.0,45.0
147,"""753c168c-ba53-4ad0-a5ce-4649fdfc434c""",0.0,0.0
148,"""20ed089b-f985-4a2b-9507-7f14945d5c1c""",0.0,0.0
149,"""cfb33cb9-fa1e-427e-9fb4-9e41080d2aac""",0.0,0.0
150,"""66595f23-6900-4659-bbe1-dfdf2a88fceb""",0.0,3.0
151,"""276b09b1-0e57-4128-a8b1-c15998da3081""",1200.0,3300.0
152,"""78acdd0c-0aa6-4dec-8b65-83794aa64476""",10.0,50.0
153,"""690c99bb-7ba6-4b69-8b68-aa30e4f19c1b""",0.0,0.0
154,"""bcd1417a-c05f-4495-8f79-ca6cdb691215""",0.0,0.0
155,"""dfb911f2-138a-42b4-95d0-37ed041b9490""",0.0,111.0
